Dun,J1,J2
1.991,4.028333333,6.036333333
2.668333333,4.097666665999999,6.321666666
3.020333333,4.311,6.636333333
3.511,4.516333333,6.815
4.025666665999999,4.809666666,7.012333333
4.638999999999999,5.009666665999999,7.287
5.009666665999999,5.289666666,7.471
5.521666666,5.505666666,7.761666666
6.041666665999999,6.001666665999999,7.972333333
6.665666666,6.153666666,8.265666666000001
7.009666665999999,6.311,8.471
7.484333332999999,6.967,8.753666666
7.975,7.124333333,8.972333333
8.612333333,7.273666666,9.241666666
9.055,7.447,9.455
9.231,7.951,9.737666666
9.543,8.108333333000001,9.924333333
9.935,8.268333333000001,10.209666666
10.545666666,8.591000000000001,10.412333333
10.924333333,8.753666666,10.719
11.401666666,8.927000000000001,10.921666666
11.895,9.905666666,11.199
12.529666666,10.055,11.377666666
12.889666666,10.217666666,11.895
13.372333333,10.884333333,12.193666666
13.876333333,11.047,12.396333333
14.529666666,11.191,12.900333333
14.993666666,11.372333333,13.180333333
15.161666666,11.876333333,13.367
15.495,12.041666666,13.665666666
15.873666666,12.196333333,13.865666666
16.460333333,12.527,14.169666666
16.828333333,12.689666666,14.372333333
17.327,12.852333333,14.660333333
17.820333333,13.012333333,14.855
18.473666666,13.156333333,15.153666666
18.927,13.348333333,15.343
19.092333333,13.844333333,15.647
19.415,14.009666666,15.865666666
19.804333333,14.172333333,16.164333333000002
20.407,14.849666666,16.356333333000002
20.761666666,15.007,16.647000000000002
21.239,15.153666666,16.847
21.759,15.327,17.127
22.359,15.809666666,17.319
22.737666666,15.983,17.617666666
23.199,16.140333333,17.807000000000002
23.719,16.476333333,18.111
24.327,16.636333333,18.305666666
24.764333333,16.809666666000002,18.604333333
24.956333333,16.959,18.799
25.281666666,17.121666666,19.079
25.652333333,17.295,19.273666666
26.276333333,17.428333333,19.575
26.623,17.612333333000002,19.759
27.105666666,17.801666666,20.065666666
27.396333333,17.953666666,20.255
27.697666666,18.124333333,20.737666666
28.071,18.772333333,21.036333333
28.380333333,18.929666666,21.233666666
28.689666666,19.087,21.700333333
28.855,19.271,22.004333333
29.156333333,19.759,22.212333333
29.543,19.919,22.695
30.159,20.076333333,22.985666666
30.497666666,20.396333333,23.177666666
30.999,20.553666666,23.676333333
31.300333333,20.732333333,23.972333333
31.588333333,20.897666666,24.172333333
31.967,21.041666666,24.644333333
32.228333333,21.225666666,24.929666666
32.535000000000004,21.721666666,25.137666666
32.716333333,21.884333333,25.628333333
33.036333333,22.031,25.916333333
33.415,22.689666666,26.127
34.031,22.855,26.604333333
34.391,23.007,26.881666666
34.881666666,23.183,27.084333333
35.369666666,23.655,27.575
36.004333333,23.809666666,27.863
36.348333333,23.977666666,28.065666666
36.828333333,24.305666666,28.367
37.297666666,24.468333333,28.545666666
37.903,24.644333333,28.841666666
38.087,24.972333333,29.033666666
38.380333333,25.159,29.335
38.561666666,25.441666666,29.516333333
38.865666666,25.633666666,29.849666666
39.231,25.780333333,30.033666666
39.847,25.929666666,30.327
40.183,26.236333333,30.511
40.671,26.409666666,30.796333333
41.151,26.583,30.985666666
41.748333333,26.903,31.289666666
42.113666666,27.087,31.489666666
42.588333333,27.391,31.785666666
43.055,27.583,31.967
43.689666666,27.721666666,32.255
44.033666666,27.876333333,32.444333333
44.535,28.193666666,32.732333333
45.004333333,28.364333333,32.924333333
45.617666666,28.529666666,33.196333333
46.049666666,28.833666666,33.407000000000004
46.228333333,29.020333333,33.727000000000004
46.543,29.148333333,33.913666666
46.932333333,29.319,34.204333333
47.529666666,29.513666666,34.391
47.900333333,29.649666666,34.671
48.359,29.801666666,34.860333333
48.820333333,30.124333333,35.151
49.449666666,30.300333333,35.353666666
49.801666666,30.471,35.652333333
50.287,30.777666666,35.852333333
50.751,30.967,36.129666666
51.369666666,31.121666666,36.329666666
51.564333333,31.255,36.617666666
51.836333333,31.463,36.812333333
52.004333333,31.588333333,37.300333333
52.319,31.751,37.577666666
52.692333333,31.924333333,37.772333333
53.271,32.228333333,38.068333333
53.617666666,32.417666666,38.260333333
54.084333333,32.716333333,38.553666666
54.588333333,32.889666666000004,38.743
55.193666666,33.036333333,39.228333333
55.553666666,33.204333333,39.529666666
55.985666666,33.404333333000004,39.721666666
56.463,33.537666666,40.188333333
57.039,33.687,40.465666666
57.380333333,33.876333333,40.655
57.828333333,34.177666666,41.127
58.284333333,34.369666666,41.420333333
58.801666666,34.671,41.615
58.975,34.860333333,41.905666666
59.220333333,34.993666666,42.095
59.383,35.159,42.257666666
59.639,35.356333333,42.385666666
59.969666666,35.492333333,42.577666666
60.460333333,35.652333333,42.876333333
60.737666666,35.817666666,43.060333333
61.132333333,36.127,43.356333333
61.527,36.305666666,43.551
62.004333333,36.460333333,43.849666666
62.276333333,36.612333333,44.031
62.647,36.785666666,44.327
63.020333333,37.257666666,44.513666666
63.449666666,37.393666666,44.791
63.591,37.596333333,44.980333333
63.788333333,37.887,45.279
63.935,37.961666666,45.465666666
64.156333333,38.052333333,45.751
64.428333333,38.140333333,45.948333333
64.889666666,38.255,46.209666666
65.132333333,38.415,46.399
65.481666666,38.545666666,46.703
65.833666666,38.628333333,46.911
66.249666666,38.703,47.193666666
66.375,38.796333333,47.391
66.593666666,38.873666666,47.692333333
66.721666666,38.977666666,47.895
66.932333333,39.516333333,48.161666666
67.199,39.665666666,48.353666666
