Dun,J1,J2
4.279,4.271,7.161666666
4.905666666,4.895,7.375
5.153666666,4.983,7.734999999999999
6.745666666,5.140333333,7.935
7.345666666,5.319,8.300333333000001
7.550999999999999,5.513666666,8.497666666
7.740333333,5.761666666,8.868333333
8.132333333,6.124333333,9.065666666
8.324333333,6.380333332999999,9.452333333
8.503,6.737666666,9.644333333
8.889666666,7.321666666,10.009666666
9.068333333,7.526999999999999,10.207
9.300333333,7.713666666,10.580333333
9.671,7.937666665999999,10.761666666
10.041666666,8.121666666000001,11.121666666
10.436333333,8.311,11.327
10.967,8.505666666,11.697666666
11.337666666,8.692333333,11.879
11.681666666,8.879000000000001,12.231
11.900333333,9.089666666,12.431
12.265666666,9.268333333,12.793666666
12.649666666,9.436333333,12.993666666
13.199,9.649666666,13.343
13.561666666,9.828333333,13.553666666
13.892333333,10.017666666,13.911
14.108333333,10.228333333,14.111
14.463,10.415,14.447
14.863,10.575,14.641666666
15.396333333,10.775,15.007
15.761666666,10.959,15.180333333
16.081666666,11.143,15.535
16.295,11.327,15.740333333
16.649666666,11.497666666,16.097666666000002
17.028333333,11.676333333,16.295
17.569666666,11.879,16.644333333000002
17.945666666,12.060333333,16.841666666000002
18.257666666,12.223,17.199
18.465666666,12.428333333,17.367
18.815,12.636333333,17.729666666
19.204333333,12.980333333,17.929666666
19.761666666,13.180333333,18.284333333
20.143,13.527,18.476333333
20.460333333,13.732333333,18.815
20.681666666,14.079,19.007
21.063,14.257666666,19.383
21.439,14.431,19.559
21.977666666,14.641666666,19.921666666
22.345666666,14.839,20.111
22.879,15.191,20.473666666
23.231,15.383,20.679
23.433666666,15.711,21.036333333
23.796333333,15.929666666,21.223
24.172333333,16.273666666,21.591
24.521666666,16.460333333,21.775
24.868333333,16.633666666,22.143
25.076333333,16.833666666,22.335
25.452333333,17.031,22.692333333
25.820333333,17.375,22.881666666
26.345666666,17.561666666,23.236333333
26.703,17.892333333,23.428333333
27.033666666,18.105666666,23.793666666
27.236333333,18.449666666,23.983
27.591,18.639,24.321666666
27.967,18.801666666,24.524333333
28.489666666,19.007,24.876333333
28.841666666,19.204333333,25.081666666
29.188333333,19.556333333,25.423
29.385666666,19.753666666,25.625666666
29.748333333,20.097666666,25.980333333
30.105666666,20.316333333,26.161666666
30.612333333,20.673666666,26.500333333
30.988333333,20.868333333,26.697666666
31.316333333,21.023,27.049666666
31.521666666,21.228333333,27.252333333
31.860333333,21.433666666,27.583
32.236333333,21.780333333,27.777666666
32.767,21.975,28.137666666
33.119,22.313666666,28.308333333
33.457666666,22.529666666,28.657666666
33.647,22.884333333,28.852333333
33.969666666,23.111,29.193666666
34.351,23.255,29.385666666
34.879,23.615,29.716333333
35.209666666000004,23.964333333,29.908333333
35.537666666,24.196333333,30.263
35.740333333,24.724333333,30.444333333
36.073666666,25.073666666,30.793666666
36.460333333,25.287,30.991
36.945666666,25.436333333,31.332333333
37.308333333,25.799,31.519
37.633666666,26.137666666,31.844333333
37.844333333,26.361666666,32.033666666
38.191,26.879,32.380333333
38.564333333,27.215,32.553666666
39.071,27.436333333,32.911
39.431,27.591,33.108333333
39.761666666,27.945666666,33.447
39.967,28.052333333,33.636333333
40.332333333,28.161666666,33.945666666
40.681666666,28.297666666,34.135
41.223,28.479,34.495
41.583,28.596333333,34.673666666
41.943,28.703,35.017666666000004
42.140333333,28.831,35.212333333000004
