Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:14,840","00:01:31,680",au,74.84,91.68,16.84,"[75.495 77.285 79.05  80.771 82.414 83.915 85.331 86.721 88.101 89.506
 90.944]",[1.79  1.765 1.721 1.643 1.501 1.416 1.39  1.38  1.405 1.438],10,0
Section_2,"00:01:32,085","00:01:56,460",au,92.085,116.46,24.375,"[ 92.375  93.788  95.195  96.598  97.967  99.323 100.689 102.056 103.425
 104.768 106.083 107.372 108.628 109.867 111.113 112.396 113.694 114.989
 116.274]","[1.413 1.407 1.403 1.369 1.356 1.366 1.367 1.369 1.343 1.315 1.289 1.256
 1.239 1.246 1.283 1.298 1.295 1.285]",18,1
Section_3,"00:01:52,760","00:02:23,140",au,112.76,143.14,30.38,"[113.694 114.989 116.274 117.564 118.834 120.123 121.404 122.699 123.989
 125.29  126.586 127.885 129.181 130.428 131.702 132.957 134.22  135.455
 136.692 137.938 139.168 140.426 141.69  142.955]","[1.295 1.285 1.29  1.27  1.289 1.281 1.295 1.29  1.301 1.296 1.299 1.296
 1.247 1.274 1.255 1.263 1.235 1.237 1.246 1.23  1.258 1.264 1.265]",23,26
Section_4,"00:02:41,500","00:02:58,100",au,161.5,178.1,16.6,"[162.411 163.633 164.821 166.051 167.217 168.419 169.608 170.818 172.017
 173.226 174.419 175.611 176.803 178.023]","[1.222 1.188 1.23  1.166 1.202 1.189 1.21  1.199 1.209 1.193 1.192 1.192
 1.22 ]",13,60
Section_5,"00:02:58,100","00:03:18,288",au,178.1,198.288,20.188,"[179.215 180.403 181.56  182.755 183.923 185.109 186.282 187.497 188.674
 189.879 191.059 192.279 193.456 194.655 195.851 197.036 198.23 ]","[1.188 1.157 1.195 1.168 1.186 1.173 1.215 1.177 1.205 1.18  1.22  1.177
 1.199 1.196 1.185 1.194]",16,74
Section_6,"00:03:15,160","00:03:41,579",au,195.16,221.579,26.419,"[195.851 197.036 198.23  199.41  200.571 201.762 202.923 204.14  205.291
 206.492 207.671 208.874 210.07  211.274 212.466 213.616 214.795 215.972
 217.141 218.335 219.508 220.691]","[1.185 1.194 1.18  1.161 1.191 1.161 1.217 1.151 1.201 1.179 1.203 1.196
 1.204 1.192 1.15  1.179 1.177 1.169 1.194 1.173 1.183]",21,78
Section_7,"00:04:09,780","00:04:26,556",au,249.78,266.556,16.776,"[250.835 251.979 253.127 254.286 255.433 256.587 257.721 258.851 259.957
 261.122 262.245 263.382 264.49  265.6  ]","[1.144 1.148 1.159 1.147 1.154 1.134 1.13  1.106 1.165 1.123 1.137 1.108
 1.11 ]",13,91
Section_8,"00:04:10,500","00:04:26,737",au,250.5,266.737,16.237,"[250.835 251.979 253.127 254.286 255.433 256.587 257.721 258.851 259.957
 261.122 262.245 263.382 264.49  265.6   266.723]","[1.144 1.148 1.159 1.147 1.154 1.134 1.13  1.106 1.165 1.123 1.137 1.108
 1.11  1.123]",14,105
Section_9,"00:04:25,740","00:04:48,460",au,265.74,288.46,22.72,"[266.723 267.822 268.927 270.069 271.178 272.273 273.373 274.498 275.6
 276.73  277.824 278.959 280.051 281.189 282.313 283.426 284.534 285.656
 286.776 287.907]","[1.099 1.105 1.142 1.109 1.095 1.1   1.125 1.102 1.13  1.094 1.135 1.092
 1.138 1.124 1.113 1.108 1.122 1.12  1.131]",19,119
Section_10,"00:05:12,860","00:05:33,605",au,312.86,333.605,20.745,"[313.509 314.636 315.756 316.864 317.971 319.096 320.202 321.359 322.438
 323.555 324.648 325.771 326.862 327.967 329.092 330.207 331.303 332.424
 333.52 ]","[1.127 1.12  1.108 1.107 1.125 1.106 1.157 1.079 1.117 1.093 1.123 1.091
 1.105 1.125 1.115 1.096 1.121 1.096]",18,128
Section_11,"00:05:15,635","00:05:33,600",au,315.635,333.6,17.965,"[315.756 316.864 317.971 319.096 320.202 321.359 322.438 323.555 324.648
 325.771 326.862 327.967 329.092 330.207 331.303 332.424 333.52 ]","[1.108 1.107 1.125 1.106 1.157 1.079 1.117 1.093 1.123 1.091 1.105 1.125
 1.115 1.096 1.121 1.096]",16,134
Section_12,"00:05:34,712","00:05:59,804",au,334.712,359.804,25.092,"[335.747 336.848 337.988 339.101 340.229 341.312 342.432 343.526 344.65
 345.731 346.835 347.921 349.024 350.104 351.21  352.293 353.364 354.448
 355.484 356.544 357.62  358.707 359.801]","[1.101 1.14  1.113 1.128 1.083 1.12  1.094 1.124 1.081 1.104 1.086 1.103
 1.08  1.106 1.083 1.071 1.084 1.036 1.06  1.076 1.087 1.094]",22,156
