Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:00:56,020","00:01:16,100",au,56.02,76.1,20.08,"[57.036 58.778 60.373 61.914 63.329 64.707 66.069 67.4   68.65  69.935
 71.13  72.283 73.463 74.66  75.799]","[1.742 1.595 1.541 1.415 1.378 1.362 1.331 1.25  1.285 1.195 1.153 1.18
 1.197 1.139]",14,29
Section_2,"00:01:26,340","00:01:41,240",au,86.34,101.24,14.9,"[ 86.676  87.78   88.875  89.951  91.042  92.12   93.191  94.258  95.319
  96.391  97.435  98.491  99.555 100.614]","[1.104 1.095 1.076 1.091 1.078 1.071 1.067 1.061 1.072 1.044 1.056 1.064
 1.059]",13,34
Section_3,"00:01:38,880","00:01:58,020",au,98.88,118.02,19.14,"[ 99.555 100.614 101.667 102.743 103.786 104.812 105.822 106.861 107.912
 108.936 109.991 111.016 112.026 113.052 114.058 115.071 116.065 117.087]","[1.059 1.053 1.076 1.043 1.026 1.01  1.039 1.051 1.024 1.055 1.025 1.01
 1.026 1.006 1.013 0.994 1.022]",17,34
Section_4,"00:01:39,460","00:01:58,860",au,99.46,118.86,19.4,"[ 99.555 100.614 101.667 102.743 103.786 104.812 105.822 106.861 107.912
 108.936 109.991 111.016 112.026 113.052 114.058 115.071 116.065 117.087
 118.131]","[1.059 1.053 1.076 1.043 1.026 1.01  1.039 1.051 1.024 1.055 1.025 1.01
 1.026 1.006 1.013 0.994 1.022 1.044]",18,36
Section_5,"00:02:00,800","00:02:12,580",au,120.8,132.58,11.78,"[121.227 122.251 123.287 124.283 125.347 126.342 127.371 128.409 129.395
 130.436 131.391 132.442]",[1.024 1.036 0.996 1.064 0.995 1.029 1.038 0.986 1.041 0.955 1.051],11,37
Section_6,"00:02:26,440","00:02:39,840",au,146.44,159.84,13.4,"[146.563 147.532 148.542 149.559 150.576 151.583 152.592 153.608 154.634
 155.621 156.648 157.631 158.66  159.676]","[0.969 1.01  1.017 1.017 1.007 1.009 1.016 1.026 0.987 1.027 0.983 1.029
 1.016]",13,46
Section_7,"00:02:26,620","00:02:41,600",au,146.62,161.6,14.98,"[147.532 148.542 149.559 150.576 151.583 152.592 153.608 154.634 155.621
 156.648 157.631 158.66  159.676 160.697]","[1.01  1.017 1.017 1.007 1.009 1.016 1.026 0.987 1.027 0.983 1.029 1.016
 1.021]",13,53
Section_8,"00:02:39,520","00:02:56,940",au,159.52,176.94,17.42,"[159.676 160.697 161.715 162.725 163.731 164.726 165.72  166.782 167.758
 168.746 169.77  170.76  171.77  172.787 173.804 174.815 175.85  176.83 ]","[1.021 1.018 1.01  1.006 0.995 0.994 1.062 0.976 0.988 1.024 0.99  1.01
 1.017 1.017 1.011 1.035 0.98 ]",17,53
Section_9,"00:02:58,420","00:03:11,320",au,178.42,191.32,12.9,"[178.86  179.898 180.94  181.952 182.94  183.92  184.91  185.892 186.904
 187.879 188.852 189.836 190.794]",[1.038 1.042 1.012 0.988 0.98  0.99  0.982 1.012 0.975 0.973 0.984 0.958],12,55
Section_10,"00:03:12,360","00:04:06,760",au,192.36,246.76,54.4,"[192.806 193.815 194.802 195.778 196.756 197.73  198.702 199.652 200.607
 201.543 202.52  203.488 204.456 205.45  206.439 207.409 208.355 209.303
 210.248 211.187 212.12  213.102 214.099 215.055 216.034 216.976 217.928
 218.902 219.872 220.848 221.864 222.832 223.794 224.755 225.698 226.678
 227.64  228.604 229.547 230.522 231.472 232.458 233.402 234.344 235.343
 236.287 237.238 238.246 239.19  240.136 241.091 242.021 242.98  243.948
 244.94  245.88 ]","[1.009 0.987 0.976 0.978 0.974 0.972 0.95  0.955 0.936 0.977 0.968 0.968
 0.994 0.989 0.97  0.946 0.948 0.945 0.939 0.933 0.982 0.997 0.956 0.979
 0.942 0.952 0.974 0.97  0.976 1.016 0.968 0.962 0.961 0.943 0.98  0.962
 0.964 0.943 0.975 0.95  0.986 0.944 0.942 0.999 0.944 0.951 1.008 0.944
 0.946 0.955 0.93  0.959 0.968 0.992 0.94 ]",55,91
