Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:13,340","00:01:26,460",au,73.34,86.46,13.12,[73.812 75.326 76.787 78.24  79.702 81.14  82.574 83.959 85.303],[1.514 1.461 1.453 1.462 1.438 1.434 1.385 1.344],8,44
Section_2,"00:01:13,420","00:01:33,740",au,73.42,93.74,20.32,"[73.812 75.326 76.787 78.24  79.702 81.14  82.574 83.959 85.303 86.604
 87.843 89.065 90.256 91.428 92.632]","[1.514 1.461 1.453 1.462 1.438 1.434 1.385 1.344 1.301 1.239 1.222 1.191
 1.172 1.204]",14,125
Section_3,"00:01:31,380","00:01:41,460",au,91.38,101.46,10.08,[ 91.428  92.632  93.863  95.087  96.279  97.457  98.621  99.828 101.046],[1.204 1.231 1.224 1.192 1.178 1.164 1.207 1.218],8,171
Section_4,"00:01:58,360","00:02:12,880",au,118.36,132.88,14.52,"[119.387 120.512 121.611 122.684 123.755 124.795 125.853 126.887 127.919
 128.938 129.982 130.982 132.026]",[1.125 1.099 1.073 1.071 1.04  1.058 1.034 1.032 1.019 1.044 1.    1.044],12,206
Section_5,"00:02:12,880","00:02:36,160",au,132.88,156.16,23.28,"[133.074 134.122 135.182 136.234 137.294 138.322 139.366 140.38  141.414
 142.451 143.474 144.489 145.509 146.521 147.542 148.539 149.519 150.529
 151.516 152.536 153.543 154.562 155.595]","[1.048 1.06  1.052 1.06  1.028 1.044 1.014 1.034 1.037 1.023 1.015 1.02
 1.012 1.021 0.997 0.98  1.01  0.987 1.02  1.007 1.019 1.033]",22,250
Section_6,"00:02:16,780","00:02:35,380",au,136.78,155.38,18.6,"[137.294 138.322 139.366 140.38  141.414 142.451 143.474 144.489 145.509
 146.521 147.542 148.539 149.519 150.529 151.516 152.536 153.543 154.562]","[1.028 1.044 1.014 1.034 1.037 1.023 1.015 1.02  1.012 1.021 0.997 0.98
 1.01  0.987 1.02  1.007 1.019]",17,285
Section_7,"00:02:45,920","00:03:07,220",au,165.92,187.22,21.3,"[170.96  172.777 174.489 176.115 177.675 179.147 180.524 181.783 183.004
 184.213 185.436 186.681]",[1.817 1.712 1.626 1.56  1.472 1.377 1.259 1.221 1.209 1.223 1.245],11,367
Section_8,"00:03:05,840","00:03:19,760",au,185.84,199.76,13.92,"[186.681 187.963 189.222 190.448 191.675 192.892 194.083 195.261 196.442
 197.643 198.829]",[1.282 1.259 1.226 1.227 1.217 1.191 1.178 1.181 1.201 1.186],10,409
Section_9,"00:03:42,600","00:04:06,760",au,222.6,246.76,24.16,"[222.741 223.874 224.961 226.043 227.082 228.115 229.123 230.12  231.111
 232.115 233.1   234.087 235.067 236.077 237.1   238.13  239.151 240.19
 241.212 242.232 243.25  244.272 245.342 246.375]","[1.133 1.087 1.082 1.039 1.033 1.008 0.997 0.991 1.004 0.985 0.987 0.98
 1.01  1.023 1.03  1.021 1.039 1.022 1.02  1.018 1.022 1.07  1.033]",23,492
Section_10,"00:04:06,760","00:04:34,900",au,246.76,274.9,28.14,"[247.415 248.467 249.518 250.549 251.559 252.553 253.537 254.532 255.53
 256.47  257.435 258.405 259.386 260.343 261.28  262.209 263.127 264.027
 264.924 265.8   266.679 267.57  268.466 269.386 270.304 271.261 272.214
 273.139 274.07 ]","[1.052 1.051 1.031 1.01  0.994 0.984 0.995 0.998 0.94  0.965 0.97  0.981
 0.957 0.937 0.929 0.918 0.9   0.897 0.876 0.879 0.891 0.896 0.92  0.918
 0.957 0.953 0.925 0.931]",28,589
Section_11,"00:04:08,800","00:04:35,500",au,248.8,275.5,26.7,"[249.518 250.549 251.559 252.553 253.537 254.532 255.53  256.47  257.435
 258.405 259.386 260.343 261.28  262.209 263.127 264.027 264.924 265.8
 266.679 267.57  268.466 269.386 270.304 271.261 272.214 273.139 274.07
 275.015]","[1.031 1.01  0.994 0.984 0.995 0.998 0.94  0.965 0.97  0.981 0.957 0.937
 0.929 0.918 0.9   0.897 0.876 0.879 0.891 0.896 0.92  0.918 0.957 0.953
 0.925 0.931 0.945]",27,686
Section_12,"00:04:33,740","00:04:44,520",au,273.74,284.52,10.78,"[274.07  275.015 275.963 276.9   277.826 278.752 279.666 280.604 281.527
 282.446 283.355 284.253]",[0.945 0.948 0.937 0.926 0.926 0.914 0.938 0.923 0.919 0.909 0.898],11,727
Section_13,"00:04:47,260","00:05:03,540",au,287.26,303.54,16.28,"[287.857 288.764 289.65  290.533 291.403 292.289 293.155 294.01  294.881
 295.774 296.655 297.531 298.419 299.322 300.238 301.152 302.107 303.047]","[0.907 0.886 0.883 0.87  0.886 0.866 0.855 0.871 0.893 0.881 0.876 0.888
 0.903 0.916 0.914 0.955 0.94 ]",17,783
