recording,start_time_p1_seconds,start_time_p2_seconds
BKO_E3_D5_01_Maraka_P2,7.345,134.423
BKO_E3_D6_12_Suku_P2,10.557,147.182
BKO_E1_D1_08_Suku_P2,7.917,175.488
BKO_E1_D5_04_Suku_P2,12.381,177.806
BKO_E2_D4_12_Suku_P2,6.04,192.979
BKO_E1_D1_07_Suku_P2,15.188,218.994
BKO_E2_D3_14_Maraka_P2,9.228,240.185
BKO_E2_D3_02_Suku_P2,15.07,275.44
BKO_E1_D1_01_Suku_P2,14.098,363.07
BKO_E1_D1_02_Maraka_P1,11.129,nan
BKO_E1_D1_03_Wasulunka_P1,7.401,nan
BKO_E1_D1_06_Manjanin_P1,53.345,nan
BKO_E1_D2_01_Manjanin_P1,27.654,nan
BKO_E1_D2_03_Suku_P1,28.09,nan
BKO_E1_D2_04_Maraka_P1,13.21,nan
BKO_E1_D2_05_Wasulunka_P1,16.11,nan
BKO_E1_D5_01_Maraka_P1,17.015,nan
BKO_E2_D3_01_Maraka_P1,7.2,nan
BKO_E2_D3_03_Wasulunka_P1,13.03,nan
BKO_E2_D3_06_Manjanin_P1,13.334,nan
BKO_E2_D3_11_Suku_P1,1.964,nan
BKO_E2_D3_13_Suku_P1,2.379,nan
BKO_E2_D4_01_Suku_P1,2.271,nan
BKO_E2_D4_02_Maraka_P1,14.23,nan
BKO_E2_D4_03_Wasulunka_P1,18.084,nan
BKO_E2_D4_06_Manjanin_P1,26.108,nan
BKO_E3_D5_01_Maraka_P1,7.345,nan
BKO_E3_D5_02_Suku_P1,9.144,nan
BKO_E3_D5_03_Wasulunka_P1,19.827,nan
BKO_E3_D5_06_Manjanin_P1,9.704,nan
BKO_E3_D5_13_Suku_P1,13.494,nan
BKO_E3_D6_01_Maraka_P1,8.04,nan
BKO_E3_D6_02_Suku_P1,10.743,nan
BKO_E3_D6_03_Wasulunka_P1,10.384,nan
BKO_E3_D6_06_Manjanin_P1,10.03,nan
