Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:16,600","00:01:04,340","00:00:47,740",gr,,gr,16.6,64.34,47.74,1,15.138
"00:01:18,940","00:01:52,500","00:00:33,560",ht,mocap,in,78.94,112.5,33.56,1,15.138
"00:01:56,280","00:02:10,520","00:00:14,240",fk,,au,116.28,130.52,14.24,1,15.138
"00:02:11,960","00:02:27,820","00:00:15,860",ak,,au,131.96,147.82,15.86,1,15.138
"00:02:27,680","00:02:38,700","00:00:11,020",mb,,au,147.68,158.7,11.02,1,15.138
"00:02:37,940","00:02:51,620","00:00:13,680",ht,mocap,in,157.94,171.62,13.68,1,15.138
"00:02:51,860","00:03:06,960","00:00:15,100",fk,,au,171.86,186.96,15.1,1,15.138
"00:03:05,740","00:03:34,440","00:00:28,700",ak,,au,185.74,214.44,28.7,1,15.138
"00:03:07,740","00:03:36,360","00:00:28,620",mb,,au,187.74,216.36,28.62,1,15.138
"00:03:35,520","00:03:53,840","00:00:18,320",ht,mocap,in,215.52,233.84,18.32,1,15.138
"00:03:53,120","00:04:10,680","00:00:17,560",ak,,au,233.12,250.68,17.56,1,15.138
"00:03:53,740","00:04:10,840","00:00:17,100",mb,,au,233.74,250.84,17.1,1,15.138
"00:04:10,460","00:04:25,580","00:00:15,120",om,,au,250.46,265.58,15.12,1,15.138
