Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:13,040","00:00:48,860","00:00:35,820",gr,,gr,13.04,48.86,35.82,1,14.23
"00:00:52,200","00:01:34,180","00:00:41,980",ht,mocap,in,52.2,94.18,41.98,1,14.23
"00:01:34,900","00:01:46,880","00:00:11,980",fk,,au,94.9,106.88,11.98,1,14.23
"00:01:46,880","00:02:01,420","00:00:14,540",mb,,au,106.88,121.42,14.54,1,14.23
"00:02:01,420","00:02:13,840","00:00:12,420",ak,,au,121.42,133.84,12.42,1,14.23
"00:02:12,460","00:02:26,560","00:00:14,100",ht,mocap,in,132.46,146.56,14.1,1,14.23
"00:02:25,840","00:02:38,020","00:00:12,180",fk,,au,145.84,158.02,12.18,1,14.23
"00:02:28,240","00:02:38,740","00:00:10,500",mb,,au,148.24,158.74,10.5,1,14.23
"00:02:40,700","00:02:51,880","00:00:11,180",fk,,au,160.7,171.88,11.18,1,14.23
"00:02:41,700","00:02:59,200","00:00:17,500",ak,,au,161.7,179.2,17.5,1,14.23
"00:03:00,300","00:03:22,040","00:00:21,740",grf,,in,180.3,202.04,21.74,1,14.23
