Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:39,980","00:01:30,820","00:00:50,840",gr,,gr,39.98,90.82,50.84,1,19.827
"00:01:34,320","00:02:02,360","00:00:28,040",nd,,au,94.32,122.36,28.04,1,19.827
"00:02:08,240","00:02:28,100","00:00:19,860",ds,,au,128.24,148.1,19.86,1,19.827
"00:02:29,160","00:03:15,100","00:00:45,940",bt,,au,149.16,195.1,45.94,1,19.827
"00:02:51,180","00:03:06,280","00:00:15,100",om,,au,171.18,186.28,15.1,1,19.827
"00:03:15,080","00:03:27,460","00:00:12,380",tm,mocap,in,195.08,207.46,12.38,1,19.827
"00:03:27,440","00:03:41,540","00:00:14,100",nd,,au,207.44,221.54,14.1,1,19.827
"00:03:40,760","00:04:06,500","00:00:25,740",ds,,au,220.76,246.5,25.74,1,19.827
"00:04:09,460","00:04:26,980","00:00:17,520",tm,mocap,in,249.46,266.98,17.52,1,19.827
"00:04:34,520","00:05:02,440","00:00:27,920",ds,,au,274.52,302.44,27.92,1,19.827
"00:05:05,200","00:05:25,040","00:00:19,840",grf,,in,305.2,325.04,19.84,1,19.827
