2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
7.345666666,1,1,1,7.375,7.321666666,7.345666666,7.347444444,1,,,,,
9.671,1,1,1,9.644333333,9.649666666,9.671,9.655,,,2.307555556,104.0061633,104.0061633,26.00154083
11.879,1,1,1,11.879,11.879,11.90033333,11.88611111,,,2.231111111,107.5697211,105.7879422,26.89243028
14.10833333,1,1,1,14.111,14.079,14.10833333,14.09944444,,,2.213333333,108.4337349,106.6698731,27.10843373
16.295,1,1,1,16.295,16.27366667,16.295,16.28788889,,,2.188444444,109.6669375,108.5567978,27.41673436
18.46566667,1,1,1,18.47633333,18.44966667,18.46566667,18.46388889,,,2.176,110.2941177,109.46493,27.57352942
20.679,1,1,1,20.679,20.67366667,20.68166667,20.67811111,,,2.214222222,108.3902047,109.45042,27.09755118
22.879,1,1,1,22.88166667,22.88433333,22.879,22.88166667,,,2.203555556,108.914885,109.1997358,27.22872126
25.08166667,1,1,1,25.08166667,25.07366667,25.07633333,25.07722222,,,2.195555555,109.3117409,108.8722769,27.32793523
27.23633333,1,1,1,27.25233333,27.215,27.23633333,27.23455556,,,2.157333334,111.2484549,109.8250269,27.81211372
29.38566667,1,1,1,29.38566667,29.367,29.38566667,29.37944444,,,2.144888889,111.893908,110.8180346,27.973477
31.519,1,1,1,31.519,31.49233333,31.52166667,31.511,,,2.131555556,112.5938282,111.9120637,28.14845705
33.63633333,1,0,1,33.63633333,,33.647,33.64166667,,,2.130666667,112.640801,112.3761791,28.16020025
35.74033333,1,1,1,35.727,35.72166667,35.74033333,35.72966667,,,2.088,114.9425287,113.392386,28.73563219
37.83366667,1,0,1,37.83366667,,37.84433333,37.839,,,2.109333333,113.7800253,113.787785,28.44500632
39.96166667,1,0,1,39.96166667,,39.967,39.96433333,,,2.125333333,112.923463,113.8820057,28.23086574
42.13766667,1,0,1,42.13766667,,42.14033333,42.139,,,2.174666667,110.3617413,112.3550765,27.59043532
44.311,1,0,1,44.311,,44.31633333,44.31366667,,,2.174666667,110.3617412,111.2156485,27.59043531
46.48166667,1,0,1,46.48166667,,46.49233333,46.487,,,2.173333333,110.4294479,110.3843101,27.60736197
48.64433333,1,1,1,48.64433333,48.67366667,48.631,48.64966667,,,2.162666667,110.974106,110.5884317,27.74352651
50.759,1,1,1,50.759,50.72966667,50.759,50.74922222,,,2.099555556,114.3099069,111.9044869,28.57747671
52.86833333,1,1,1,52.86833333,52.84966667,52.86833333,52.86211111,,,2.112888889,113.588557,112.9575233,28.39713925
54.95633333,1,1,0,54.95633333,54.97233333,,54.96433333,,m,2.102222222,114.1649049,114.0211229,28.54122621
57.00433333,1,1,1,57.02566667,57.00433333,57.00433333,57.01144444,,,2.047111111,117.2383847,114.9972822,29.30959618
