piece,start_time,end_time
BKO_E1_D1_01_Suku,0,77
BKO_E1_D1_02_Maraka,0,90
BKO_E1_D1_03_Wasulunka,0,106
BKO_E1_D1_06_Manjanin,0,57
BKO_E1_D1_07_Suku,0,77
BKO_E1_D1_08_Suku,0,51
BKO_E1_D2_03_Suku,0,94
BKO_E1_D2_04_Maraka,0,79
BKO_E1_D2_05_Wasulunka,0,118
BKO_E1_D5_01_Maraka,0,60
BKO_E1_D5_04_Suku,0,56
BKO_E2_D3_01_Maraka,0,53
BKO_E2_D3_02_Suku,0,56
BKO_E2_D3_03_Wasulunka,0,77
BKO_E2_D3_06_Manjanin,0,46
BKO_E2_D3_11_Suku,0,0
BKO_E2_D3_13_Suku,0,0
BKO_E2_D3_14_Maraka,0,64
BKO_E2_D4_01_Suku,111,137
BKO_E2_D4_02_Maraka,0,60
BKO_E2_D4_03_Wasulunka,0,81
BKO_E2_D4_06_Manjanin,0,89
BKO_E2_D4_12_Suku,0,40
BKO_E3_D5_01_Maraka,0,67
BKO_E3_D5_02_Suku,0,75
BKO_E3_D5_03_Wasulunka,0,99
BKO_E3_D5_06_Manjanin,0,85
BKO_E3_D5_13_Suku,0,65
BKO_E3_D6_01_Maraka,0,63
BKO_E3_D6_02_Suku,0,60
BKO_E3_D6_03_Wasulunka,0,91
BKO_E3_D6_06_Manjanin,0,45
BKO_E3_D6_12_Suku,0,82
